adm1_name,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07
Abiemnhom,phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 2 (C),phase 2 (P1),phase 2 (P1),phase 2 (P1),phase 2 (C) | phase 2 (P2),phase 2 (P2) | phase 3 (P1),phase 2 (P2) | phase 3 (P1),phase 3 (P1),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1),phase 3 (P2) | phase 3 (P2),phase 3 (P2) | phase 3 (P2),phase 3 (P2) | phase 3 (P2),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (C),phase 3 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P2) | phase 3 (P2-U),phase 3 (P2) | phase 3 (P2-U),phase 3 (P2) | phase 3 (P2-U),phase 3 (P2) | phase 3 (P2-U),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (P2)
Akobo,phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 4 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 3 (C) | phase 4 (P2),phase 4 (P1) | phase 4 (P2),phase 4 (P1) | phase 4 (P2),phase 4 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1),phase 3 (P2) | phase 4 (P2),phase 3 (P2) | phase 4 (P2),phase 3 (P2) | phase 4 (P2),phase 4 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (C) | phase 4 (P2),phase 4 (P1) | phase 4 (P2),phase 4 (P1) | phase 4 (P2),phase 4 (P1) | phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (C),phase 4 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (C),phase 4 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (C),phase 3 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2) | phase 4 (P2-U),phase 4 (P2) | phase 4 (P2-U),phase 4 (P2) | phase 4 (P2-U),phase 4 (P2) | phase 4 (P2-U),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2)
Akoka,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2) | phase 4 (P2-U),phase 4 (P2) | phase 4 (P2-U),phase 4 (P2) | phase 4 (P2-U),phase 4 (P2) | phase 4 (P2-U),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2)
Aweil Centre,phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 4 (P2),phase 4 (P1) | phase 4 (P2),phase 4 (P1) | phase 4 (P2),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 2 (P1),phase 2 (P1),phase 2 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1),phase 3 (P2) | phase 3 (P2),phase 3 (P2) | phase 3 (P2),phase 3 (P2) | phase 3 (P2),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (C),phase 4 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P2) | phase 3 (P2-U),phase 3 (P2) | phase 3 (P2-U),phase 3 (P2) | phase 3 (P2-U),phase 3 (P2) | phase 3 (P2-U),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (P2)
Aweil East,phase 3 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (C) | phase 4 (P2),phase 4 (P1) | phase 4 (P2),phase 4 (P1) | phase 4 (P2),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (C) | phase 4 (P2),phase 4 (P1) | phase 4 (P2),phase 4 (P1) | phase 4 (P2),phase 4 (P1),phase 4 (P2) | phase 4 (P2),phase 4 (P2) | phase 4 (P2),phase 4 (P2) | phase 4 (P2),phase 4 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (C),phase 4 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (C),phase 4 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (C),phase 4 (C),phase 4 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (C),phase 4 (C),phase 4 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2) | phase 4 (P2-U),phase 4 (P2) | phase 4 (P2-U),phase 4 (P2) | phase 4 (P2-U),phase 4 (P2) | phase 4 (P2-U),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2)
Aweil North,phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 4 (P2),phase 4 (P1) | phase 4 (P2),phase 4 (P1) | phase 4 (P2),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1),phase 4 (P2) | phase 4 (P2),phase 4 (P2) | phase 4 (P2),phase 4 (P2) | phase 4 (P2),phase 4 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P2) | phase 4 (C),phase 3 (P2) | phase 4 (P1),phase 3 (P2) | phase 4 (P1),phase 3 (P2) | phase 4 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (C),phase 4 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (C),phase 4 (C),phase 4 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2) | phase 4 (P2-U),phase 4 (P2) | phase 4 (P2-U),phase 4 (P2) | phase 4 (P2-U),phase 4 (P2) | phase 4 (P2-U),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2)
Aweil South,phase 3 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (C) | phase 4 (P2),phase 4 (P1) | phase 4 (P2),phase 4 (P1) | phase 4 (P2),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1),phase 3 (P2) | phase 4 (P2),phase 3 (P2) | phase 4 (P2),phase 3 (P2) | phase 4 (P2),phase 4 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 4 (P2),phase 3 (P1) | phase 4 (P2),phase 3 (P1) | phase 4 (P2),phase 3 (P1) | phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (C),phase 4 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (C),phase 4 (C),phase 4 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (C),phase 4 (C),phase 4 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2) | phase 4 (P2-U),phase 4 (P2) | phase 4 (P2-U),phase 4 (P2) | phase 4 (P2-U),phase 4 (P2) | phase 4 (P2-U),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2)
Aweil West,phase 3 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (C) | phase 4 (P2),phase 4 (P1) | phase 4 (P2),phase 4 (P1) | phase 4 (P2),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P2) | phase 4 (P1),phase 3 (P2) | phase 4 (P1),phase 4 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 4 (P2),phase 3 (P1) | phase 4 (P2),phase 3 (P1) | phase 4 (P2),phase 3 (P1),phase 4 (P2) | phase 4 (P2),phase 4 (P2) | phase 4 (P2),phase 4 (P2) | phase 4 (P2),phase 4 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (C),phase 4 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P2-U) | phase 4 (P2),phase 3 (P2-U) | phase 4 (P2),phase 3 (P2-U) | phase 4 (P2),phase 3 (P2-U) | phase 4 (P2),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (P2)
Awerial,phase 2 (C),phase 2 (P1),phase 2 (P1),phase 2 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 4 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P2) | phase 4 (P1),phase 3 (P2) | phase 4 (P1),phase 4 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (C) | phase 4 (P2),phase 4 (P1) | phase 4 (P2),phase 4 (P1) | phase 4 (P2),phase 4 (P1),phase 4 (P2) | phase 4 (P2),phase 4 (P2) | phase 4 (P2),phase 4 (P2) | phase 4 (P2),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P2-U) | phase 4 (P2),phase 3 (P2-U) | phase 4 (P2),phase 3 (P2-U) | phase 4 (P2),phase 3 (P2-U) | phase 4 (P2),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2)
Ayod,phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P2) | phase 4 (C),phase 3 (P2) | phase 4 (P1),phase 3 (P2) | phase 4 (P1),phase 4 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 3 (C) | phase 4 (P2),phase 4 (P1) | phase 4 (P2),phase 4 (P1) | phase 4 (P2),phase 4 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1),phase 3 (P2) | phase 3 (P2),phase 3 (P2) | phase 3 (P2),phase 3 (P2) | phase 3 (P2),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P2) | phase 4 (C),phase 3 (P2) | phase 4 (P1),phase 3 (P2) | phase 4 (P1),phase 3 (P2) | phase 4 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (C),phase 4 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (C),phase 4 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (C),phase 3 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2) | phase 4 (P2-U),phase 4 (P2) | phase 4 (P2-U),phase 4 (P2) | phase 4 (P2-U),phase 4 (P2) | phase 4 (P2-U),phase 3 (C),phase 3 (C),phase 3 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2)
Baliet,phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 4 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1),phase 3 (P2) | phase 3 (P2),phase 3 (P2) | phase 3 (P2),phase 3 (P2) | phase 3 (P2),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (C),phase 4 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (C),phase 4 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2) | phase 4 (P2-U),phase 4 (P2) | phase 4 (P2-U),phase 4 (P2) | phase 4 (P2-U),phase 4 (P2) | phase 4 (P2-U),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2)
Bor South,phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P2) | phase 4 (C),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (C),phase 2 (P1),phase 2 (P1),phase 2 (P1),phase 2 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1),phase 3 (P2) | phase 4 (P2),phase 3 (P2) | phase 4 (P2),phase 3 (P2) | phase 4 (P2),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (C),phase 3 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 2 (C),phase 2 (C),phase 2 (C),phase 2 (P1),phase 2 (P1),phase 2 (P1),phase 2 (P1),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 2 (C),phase 2 (C),phase 2 (C),phase 2 (P1),phase 2 (P1),phase 2 (P1),phase 2 (P1),phase 3 (P2) | phase 3 (P2-U),phase 3 (P2) | phase 3 (P2-U),phase 3 (P2) | phase 3 (P2-U),phase 3 (P2) | phase 3 (P2-U),phase 2 (C),phase 2 (C),phase 2 (C),phase 2 (P1),phase 2 (P1),phase 2 (P1),phase 2 (P1),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (P2)
Budi,phase 2 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 4 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 2 (C) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 4 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P2) | phase 4 (C),phase 3 (P1) | phase 3 (P2),phase 3 (P1) | phase 3 (P2),phase 3 (P1),phase 3 (P2) | phase 3 (P2),phase 3 (P2) | phase 3 (P2),phase 3 (P2) | phase 3 (P2),phase 4 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C) | phase 4 (P2),phase 3 (P1) | phase 4 (P2),phase 3 (P1) | phase 4 (P2),phase 3 (P1) | phase 4 (P2),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 4 (P2),phase 3 (C),phase 3 (C),phase 3 (C),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 4 (P1),phase 3 (P2) | phase 3 (P2-U),phase 3 (P2) | phase 3 (P2-U),phase 3 (P2) | phase 3 (P2-U),phase 3 (P2) | phase 3 (P2-U),phase 3 (C),phase 3 (C),phase 3 (C),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P1),phase 3 (P2),phase 3 (P2),phase 3 (P2),phase 3 (P2)
